technology,country,energy_MJ
Biomass,BE,11122591539.7449
Fossil Gas,BE,76826673539.9633
Fossil Hard coal,BE,0
Fossil Oil,BE,25851807.6212763
Hydro Run-of-river and poundage,BE,233127772.258632
Nuclear,BE,142041154533.661
Other,BE,17913499861.3908
Solar,BE,10213329073.4441
Waste,BE,5669302363.82464
Wind Offshore,BE,9877217616.39902
Wind Onshore,BE,9351315531.69234
Hydro Pumped Storage,BE,4020073200
Biomass,ES,10534100212.3353
Fossil Brown coal/Lignite,ES,16856789941.2466
Fossil Coal-derived gas,ES,0
Fossil Gas,ES,199984730214.108
Fossil Hard coal,ES,134127815025.166
Fossil Oil,ES,9117758517.75624
Fossil Oil shale,ES,0
Fossil Peat,ES,0
Geothermal,ES,0
Hydro Run-of-river and poundage,ES,23680550039.0481
Hydro Water Reservoir,ES,48766351842.5418
Marine,ES,0
Nuclear,ES,196145270331.688
Other,ES,1522911655.03582
Other renewable,ES,2930879679.47375
Solar,ES,46575698898.9593
Waste,ES,9205795501.59549
Wind Offshore,ES,0
Wind Onshore,ES,166016244661.046
Hydro Pumped Storage,ES,13191382800
