fromCountry,toCountry,energy_MJ
AT,CH,23615733600.0
AT,CZ,126000.0
AT,DE,396637200.0
AT,HU,18172234800.0
AT,IT,4731030000.0
AT,SI,21438594000.0
BA,HR,6512256000.0
BA,ME,6463983600.0
BA,RS,380718000.0
BE,FR,16196227200.0
BE,LU,35892000.0
BE,NL,5613526800.0
BG,GR,7376349600.0
BG,MK,7939180800.0
BG,RO,1625684400.0
BG,RS,7538475600.0
BG,TR,7293744000.0
BY,LT,4558370400.0
CH,AT,246614400.0
CH,DE,1599109200.0
CH,FR,7971793200.0
CH,IT,73766624400.0
CZ,AT,39462480000.0
CZ,DE,20065986000.0
CZ,PL,138200400.0
CZ,SK,40132159200.0
DE,AT,55627794000.0
DE,CH,65393928000.0
DE,CZ,32711353200.0
DE,DK,14839668000.0
DE,FR,7797783600.0
DE,LU,7843485600.0
DE,NL,51106071600.0
DE,PL,27281660400.0
DE,SE,912607200.0
DK,DE,18972648000.0
DK,NO,8516264400.0
DK,SE,10137182400.0
EE,FI,3034807200.0
EE,LV,8400783600.0
EE,RU,5321912400.0
ES,FR,10260993600.0
ES,PT,10611435600.0
FI,EE,5931230400.0
FI,NO,141760800.0
FI,RU,702000.0
FI,SE,795304800.0
FR,BE,10293609600.0
FR,CH,16489548000.0
FR,DE,22231965600.0
FR,ES,54567669600.0
FR,GB,36475480800.0
FR,IT,39096144000.0
GB,FR,7824308400.0
GB,GB-NIR,2672172000.0
GB,IE,2005808400.0
GB,NL,686822400.0
GB-NIR,GB,3203319600.0
GR,BG,73630800.0
GR,IT,1175810400.0
GR,MK,1465934400.0
GR,TR,1713600.0
HR,BA,1984096800.0
HR,HU,72288000.0
HR,RS,396687600.0
HR,SI,4584459600.0
HU,AT,260020800.0
HU,HR,17545903200.0
HU,RO,2983640400.0
HU,RS,3510028800.0
HU,SK,190800.0
HU,UA,568800.0
IE,GB,4917258000.0
IT,AT,390783600.0
IT,CH,980449200.0
IT,FR,1006200000.0
IT,GR,5853499200.0
IT,MT,3193005600.0
IT,SI,543780000.0
LT,BY,1406772000.0
LT,LV,259498800.0
LT,PL,5532048000.0
LT,RU-KGD,112888800.0
LT,SE,409248000.0
LU,BE,133228800.0
LU,DE,0.0
LV,EE,398347200.0
LV,LT,11713842000.0
LV,RU,131518800.0
ME,BA,1113606000.0
ME,RS,556390800.0
MK,BG,198000.0
MK,GR,6024013200.0
MK,RS,1606957200.0
MT,IT,119836800.0
NL,BE,34722266400.0
NL,DE,1517904000.0
NL,GB,25997479200.0
NL,NO,406558800.0
NO,DK,19007690400.0
NO,FI,1028638800.0
NO,NL,17976344400.0
NO,SE,35384684400.0
PL,CZ,19438704000.0
PL,DE,814143600.0
PL,LT,1779609600.0
PL,SE,541605600.0
PL,SK,15740820000.0
PT,ES,20158945200.0
RO,BG,12881077200.0
RO,HU,991296000.0
RO,RS,7488982800.0
RO,UA,149965200.0
RS,BA,3764620800.0
RS,BG,15202800.0
RS,HR,2959534800.0
RS,HU,1104699600.0
RS,ME,3578468400.0
RS,MK,4591209600.0
RS,RO,427489200.0
RU,EE,684219600.0
RU,FI,20844273600.0
RU,LV,3387452400.0
RU-KGD,LT,9681307200.0
SE,DE,7695104400.0
SE,DK,20622394800.0
SE,FI,54384627600.0
SE,LT,11451726000.0
SE,NO,11806095600.0
SE,PL,11249805600.0
SI,AT,468363600.0
SI,HR,6440450400.0
SI,IT,21284654400.0
SK,CZ,9212400.0
SK,HU,34252257600.0
SK,PL,1152000.0
SK,UA,10965153600.0
TR,BG,366670800.0
TR,GR,11513473200.0
UA,HU,16490847600.0
UA,RO,3078954000.0
UA,SK,33937200.0
